file,lang,title,len_title,len_descr,n_h1,h1,canonical,n_hreflang,tipi_ld,faq,parole,img,link_interni,link_html,estraibili,problemi
app-privacy.html,nl,Privacyverklaring · Ti | Thuis Italiaans,40,165,2,Privacyverklaring,https://thuisitaliaans.com/app-privacy,16,WebPage,,694,4,37,0,1,h1 multipli; og:locale assente
app-support.html,it,Supporto · Ti | Thuis Italiaans,31,154,2,Supporto,https://thuisitaliaans.com/app-support,16,BreadcrumbList+ContactPage+ListItem+MobileApplication+Organi,,590,4,37,0,1,h1 multipli
app-termini.html,nl,Gebruiksvoorwaarden · Ti | Thuis Italiaans,42,165,2,Gebruiksvoorwaarden,https://thuisitaliaans.com/app-termini,16,WebPage,,829,4,37,0,1,h1 multipli; og:locale assente
app-ti.html,it,Impara l'italiano davvero. · Ti | Thuis Italiaans,49,154,1,Impara l'italiano davvero.,https://thuisitaliaans.com/app-ti,16,AggregateOffer+Answer+BreadcrumbList+EducationalAudience+FAQ,si,544,21,35,0,2,
app/app-privacy-ar.html,ar,سياسة الخصوصية · Ti | Thuis Italiaans,37,155,2,سياسة الخصوصية,https://thuisitaliaans.com/app-privacy-ar,16,WebPage,,614,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
app/app-privacy-bn.html,bn,গোপনীয়তা নীতি · Ti | Thuis Italiaans,37,165,2,গোপনীয়তা নীতি,https://thuisitaliaans.com/app-privacy-bn,16,WebPage,,661,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
app/app-privacy-de.html,de,Datenschutzerklärung · Ti | Thuis Italiaans,43,160,2,Datenschutzerklärung,https://thuisitaliaans.com/app-privacy-de,16,WebPage,,663,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
app/app-privacy-en.html,en,Privacy Policy · Ti | Thuis Italiaans,37,165,2,Privacy Policy,https://thuisitaliaans.com/app-privacy-en,16,WebPage,,721,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
app/app-privacy-es.html,es,Política de privacidad · Ti | Thuis Italiaans,45,155,2,Política de privacidad,https://thuisitaliaans.com/app-privacy-es,16,WebPage,,751,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
app/app-privacy-fr.html,fr,Politique de confidentialité · Ti | Thuis Italiaans,51,155,2,Politique de confidentialité,https://thuisitaliaans.com/app-privacy-fr,16,WebPage,,779,2,37,0,1,h1 multipli; canonical diverso dal percorso; og:locale assente
